Timestamp,Air Quality,Temperature,Humidity,Status,Alert
2026-06-12 12:31:37,571,30.9,42.4,Hazardous,ALERT ON
2026-06-12 12:31:40,560,34.9,48.6,Hazardous,ALERT ON
2026-06-12 12:31:43,397,37.9,46.1,Poor,ALERT ON
2026-06-12 12:31:46,385,33.5,68.2,Poor,ALERT ON
2026-06-12 12:31:49,339,37.4,64.1,Poor,ALERT ON
2026-06-12 12:31:52,500,35.4,43.4,Poor,ALERT ON
2026-06-12 12:31:55,374,26.7,46.4,Poor,ALERT ON
2026-06-12 12:31:58,356,37.0,69.3,Poor,ALERT ON
2026-06-12 12:32:01,187,24.5,57.1,Moderate,SAFE
2026-06-12 12:32:04,356,25.9,83.9,Poor,ALERT ON
2026-06-12 12:32:07,171,28.6,41.4,Moderate,SAFE
2026-06-12 12:32:10,115,34.5,42.8,Good,SAFE
2026-06-12 12:32:13,242,33.4,55.2,Moderate,SAFE
2026-06-12 13:09:13,304,36.6,46.8,Poor,ALERT ON
2026-06-12 13:09:30,253,23.5,36.9,Moderate,SAFE
2026-06-12 13:09:48,541,23.2,73.8,Hazardous,ALERT ON
2026-06-12 13:10:05,229,23.2,59.4,Moderate,SAFE
2026-06-12 13:10:22,510,39.4,49.6,Hazardous,ALERT ON
2026-06-12 13:10:39,271,29.8,36.2,Moderate,SAFE
2026-06-12 13:10:55,490,34.7,52.7,Poor,ALERT ON
2026-06-12 13:12:40,300,37.0,58.6,Moderate,SAFE
2026-06-12 13:12:57,188,23.6,63.9,Moderate,SAFE
2026-06-12 13:13:14,568,36.0,48.6,Hazardous,ALERT ON
2026-06-12 13:13:31,695,26.8,78.9,Hazardous,ALERT ON
2026-06-12 13:13:47,396,23.3,44.3,Poor,ALERT ON
2026-06-12 13:14:03,608,38.4,71.9,Hazardous,ALERT ON
2026-06-12 13:14:20,582,31.3,75.1,Hazardous,ALERT ON
2026-06-12 13:14:37,160,26.2,63.8,Moderate,SAFE
2026-06-12 13:14:54,100,23.1,37.0,Good,SAFE
2026-06-12 13:15:10,189,25.5,72.4,Moderate,SAFE
2026-06-12 13:15:26,527,37.4,61.8,Hazardous,ALERT ON
2026-06-12 13:15:42,554,28.5,84.6,Hazardous,ALERT ON
2026-06-12 13:15:59,608,28.5,79.5,Hazardous,ALERT ON
2026-06-12 13:16:15,405,33.3,71.9,Poor,ALERT ON
2026-06-12 13:16:32,365,32.2,76.5,Poor,ALERT ON
2026-06-12 13:16:48,505,29.5,38.3,Hazardous,ALERT ON
2026-06-12 13:17:05,416,30.8,77.3,Poor,ALERT ON
2026-06-12 13:17:22,208,39.6,49.7,Moderate,SAFE
2026-06-12 13:17:48,132,36.3,52.9,Good,SAFE
2026-06-12 13:18:04,573,30.8,74.5,Hazardous,ALERT ON
2026-06-12 13:18:22,595,37.4,54.9,Hazardous,ALERT ON
2026-06-12 13:18:38,610,36.4,46.0,Hazardous,ALERT ON
2026-06-12 13:18:55,172,32.8,62.6,Moderate,SAFE
2026-06-12 13:19:11,261,33.7,55.6,Moderate,SAFE
2026-06-12 13:19:27,512,33.6,63.4,Hazardous,ALERT ON
2026-06-12 13:19:44,120,29.3,65.8,Good,SAFE
2026-06-12 13:20:00,404,36.8,48.6,Poor,ALERT ON
2026-06-12 13:20:17,431,25.0,45.4,Poor,ALERT ON
2026-06-12 13:20:34,271,31.9,49.7,Moderate,SAFE
2026-06-12 13:20:50,401,22.9,73.8,Poor,ALERT ON
2026-06-12 13:21:07,392,28.8,73.8,Poor,ALERT ON
2026-06-12 13:21:23,461,28.5,72.9,Poor,ALERT ON
2026-06-12 13:21:40,203,37.7,84.1,Moderate,SAFE
2026-06-12 13:21:56,553,28.6,35.9,Hazardous,ALERT ON
2026-06-12 13:22:12,212,32.3,80.0,Moderate,SAFE
2026-06-12 13:22:28,196,23.7,56.1,Moderate,SAFE
